所属模块,接口描述,接口路径
['活动管理'],创建活动,/activity/create
['活动管理'],删除活动,/activity/del
['活动管理'],列出活动,/activity/page
['活动管理'],更新活动排序,/activity/priority
['活动管理'],更新活动信息,/activity/update
['分销管理'],导出分销列表,/affiliate/commission/export
['分销管理'],分页查询分销列表,/affiliate/commission/page
['分销管理'],提交分销转化迁移,/affiliate/link/transform/commit
['分销管理'],准备分销转化迁移,/affiliate/link/transform/prepare
['分销管理'],批量创建分销商品,/affiliate/product/batch/create
['分销管理'],导出批次失败记录,/affiliate/product/batch/export/fail
['分销管理'],批量导入分销商品,/affiliate/product/batch/import
['分销管理'],分页查询批量创建分销商品,/affiliate/product/batch/page
['分销管理'],创建分销商品,/affiliate/product/create
['分销管理'],删除分销商品,/affiliate/product/delete
['分销管理'],获取分销商品,/affiliate/product/fetch
['分销管理'],分页查询分销商品列表,/affiliate/product/page
['分销管理'],更新分销商品,/affiliate/product/update
['分销管理'],分页查询提现列表,/affiliate/withdraw/page
['分销管理'],更新提现状态，确认/拒绝/修改,/affiliate/withdraw/update
['数据分析'],查询活跃数据,/analysis/user/active
['数据分析'],导出活跃数据,/analysis/user/active/export
['数据分析'],查询注册用户数,/analysis/user/register
['数据分析'],查询用户留存数据,/analysis/user/retention
['数据分析'],导出用户留存数据,/analysis/user/retention/export
['配置管理'],查询国家配置列表,/config/country/list
['配置管理'],查询配置参数,/config/param/list
['标签管理'],创建标签,/label/create
['标签管理'],删除标签,/label/del
['标签管理'],列出所有标签,/label/list
['标签管理'],查询标签,/label/search
['标签管理'],更新标签,/label/update
['OA授权登录'],登录授权地址,/oa_auth/authorize_url
['OA授权登录'],登出会话,/oa_auth/logout
['系统管理'],当前员工信息,/staffer/current
['系统管理'],分页查询员工列表,/staffer/page
['系统管理'],员工会话（测试）,/staffer/session
['系统管理'],OSS临时授权,/system/oss/assume_role
['用户账号管理'],封禁账号,/user/account/ban
['用户账号管理'],解封账号,/user/account/unban
['用户管理'],创建用户标签,/user/label/add
['用户管理'],删除用户标签,/user/label/delete
['用户管理'],更新用户标签,/user/label/replace
['用户管理'],分页查询用户列表,/user/page
['用户管理'],导出用户列表,/user/page/export
